name,country,latitude,longitude,population,areaSize
New York,USA,40.7128,-74.006,8467513,783.8
Brasília,Brazil,-15.7975,-47.8919,3055149,5802.0
Madrid,Spain,40.4168,-3.7038,3223000,604.3
Chicago,USA,41.8781,-87.6298,2716000,606.1
Tokyo,Japan,35.6762,139.6503,13929286,2194.1
Manchester,UK,53.4808,-2.2426,553230,115.6
Mumbai,India,19.076,72.8777,12442373,603.4
London,UK,51.5074,-0.1278,8982000,1572.0
Osaka,Japan,34.6937,135.5023,2750000,225.2
Delhi,India,28.7041,77.1025,16787941,1484.0
Barcelona,Spain,41.3874,2.1686,1636000,101.9
Toronto,Canada,43.6532,-79.3832,2930000,630.2
Valencia,Spain,39.4699,-0.3763,791413,134.6
Mexico City,Mexico,19.4326,-99.1332,9209944,1485.0
Los Angeles,USA,34.0522,-118.2437,3989480,1302.0
Sao Paulo,Brazil,-23.5505,-46.6333,12252023,1521.1
Kyoto,Japan,35.0116,135.7681,1475000,827.9
Sydney,Australia,-33.8688,151.2093,5312163,12367.7
Rio de Janeiro,Brazil,-22.9068,-43.1729,6748000,1182.3
Bengaluru,India,12.9716,77.5946,8443675,709.5
